predictor,raw_fi,fi,season,window,window_c,pred_cat
par_7d,8330.514047923138,0.06233769629048041,Fall/Winter,1,F1,Climate
rain_mm,78.1421217267865,5.847418086897766e-4,Fall/Winter,1,F1,Climate
rain_1d,3949.4032180385193,0.02955360220490955,Fall/Winter,1,F1,Climate
rain_7d,8710.741208830319,0.0651829571161233,Fall/Winter,1,F1,Climate
air_temp,1127.17257581927,0.008434694581170276,Fall/Winter,1,F1,Climate
atemp_1d,1824.0609753556769,0.013649548928542758,Fall/Winter,1,F1,Climate
atemp_7d,4748.5053501033,0.035533327552848756,Fall/Winter,1,F1,Climate
d_temp,1583.395464682203,0.011848635632478318,Fall/Winter,1,F1,Climate
d_sal,3048.7264614252717,0.022813788336682624,Fall/Winter,1,F1,Climate
d_depth,3738.3951167663745,0.027974616939863,Fall/Winter,1,F1,Climate
d_do,1118.5596033064294,0.008370243232601028,Fall/Winter,1,F1,Climate
fp_depth,29034.942641066653,0.2179917694889637,Fall/Winter,2,F2,FP
fp_sal,9261.847335343848,0.06953712684496892,Fall/Winter,2,F2,FP
fp_depth_1d,14541.601532574814,0.10917705223243232,Fall/Winter,2,F2,FP
fp_depth_7d,5356.505340885861,0.040216166154406326,Fall/Winter,2,F2,FP
creek_sal,4290.088900167332,0.032209606272467654,Fall/Winter,2,F2,Creek
creek_depth_1d,19408.344225930792,0.1457161239463753,Fall/Winter,2,F2,Creek
BP_hPa,2659.3288036757453,0.019966004366969464,Fall/Winter,2,F2,Climate
month,1416.9988131298103,0.010638701183484789,Fall/Winter,2,F2,Time
sun_position,845.3999062194208,0.0063471873790416165,Fall/Winter,2,F2,Time
par,638.4309976952288,0.004793283203781617,Fall/Winter,2,F2,Climate
par_7d,13933.652373600498,0.10461262396534518,Fall/Winter,2,F2,Climate
rain_mm,149.72132183768383,0.0011240943810738077,Fall/Winter,2,F2,Climate
rain_1d,4537.089804289299,0.03406406711368746,Fall/Winter,2,F2,Climate
rain_7d,8823.255643277353,0.06624421939139934,Fall/Winter,2,F2,Climate
air_temp,1301.0412795926204,0.009768102324935805,Fall/Winter,2,F2,Climate
atemp_1d,3998.943792246871,0.03002371467150167,Fall/Winter,2,F2,Climate
d_temp,1958.4189867643308,0.014703635739982858,Fall/Winter,2,F2,Climate
d_sal,4498.439645806626,0.033773885158006584,Fall/Winter,2,F2,Climate
d_depth,5016.855734924685,0.03766610709195156,Fall/Winter,2,F2,Climate
d_do,1521.9318484815276,0.011426529089223971,Fall/Winter,2,F2,Climate
fp_depth,26886.656457126715,0.17448292925569775,Fall/Winter,3,F3,FP
fp_sal,7279.807019157387,0.04724284163574694,Fall/Winter,3,F3,FP
fp_depth_1d,14808.026575025171,0.09609777464991366,Fall/Winter,3,F3,FP
fp_depth_7d,5273.615929050199,0.034223517399326366,Fall/Winter,3,F3,FP
creek_sal,3107.886444314082,0.02016885704857728,Fall/Winter,3,F3,Creek
creek_temp,2479.0778012266,0.01608815723519002,Fall/Winter,3,F3,Creek
creek_depth_1d,25394.177074138956,0.16479737482416432,Fall/Winter,3,F3,Creek
creek_depth_7d,9671.803731608767,0.06276587975779976,Fall/Winter,3,F3,Creek
BP_hPa,2411.440946339442,0.015649222904133554,Fall/Winter,3,F3,Climate
month,1119.8204510407325,0.007267156957563339,Fall/Winter,3,F3,Time
sun_position,676.8328886946852,0.004392356677906718,Fall/Winter,3,F3,Time
par,455.0440091473364,0.0029530414755323097,Fall/Winter,3,F3,Climate
par_7d,15503.381463677986,0.10061033120516556,Fall/Winter,3,F3,Climate
rain_mm,106.69415640694287,6.923995541816219e-4,Fall/Winter,3,F3,Climate
rain_1d,4763.1694118842115,0.03091093728414873,Fall/Winter,3,F3,Climate
rain_7d,15939.80849973007,0.10344255646821292,Fall/Winter,3,F3,Climate
air_temp,993.3123469017735,0.006446173336191574,Fall/Winter,3,F3,Climate
atemp_1d,2178.637375388998,0.01413842705395438,Fall/Winter,3,F3,Climate
atemp_7d,6589.103542143133,0.04276047075751162,Fall/Winter,3,F3,Climate
d_temp,1526.2078778484797,0.009904437972968512,Fall/Winter,3,F3,Climate
d_sal,2652.349898480898,0.017212619220093848,Fall/Winter,3,F3,Climate
d_depth,3195.8187195397113,0.020739499998620226,Fall/Winter,3,F3,Climate
d_do,1080.6623097578793,0.007013037327398999,Fall/Winter,3,F3,Climate
