predictor,raw_fi,fi,season,window,window_c
fp_do_1d,0,0,Fall/Winter,4,F4
air_temp,1422.2131282575754,0.010407299861458783,Fall/Winter,4,F4
rain_mm,82.7345163751006,6.054246748961956e-4,Fall/Winter,4,F4
par,918.6073698517546,0.006722074324194919,Fall/Winter,4,F4
BP_hPa,3913.834920821535,0.02864018958898367,Fall/Winter,4,F4
air_temp_1d,2544.4274802111922,0.018619304825808067,Fall/Winter,4,F4
par_1d,4049.070346238386,0.02962979909000792,Fall/Winter,4,F4
rain_mm_1d,6895.733304772177,0.05046076628144776,Fall/Winter,4,F4
BP_hPa_1d,3441.2612027380433,0.025182046577208118,Fall/Winter,4,F4
creek_temp,2637.2995235666426,0.020287036040518014,Fall/Winter,5,F5
creek_sal,4184.328050020483,0.03218732388853403,Fall/Winter,5,F5
creek_do,1521.417197479951,0.0117032764925382,Fall/Winter,5,F5
creek_depth,5665.100950118386,0.043577950142271886,Fall/Winter,5,F5
creek_depth_1d,15047.554062330959,0.11575108130733239,Fall/Winter,5,F5
creek_sal_1d,5474.741066372479,0.04211363492600121,Fall/Winter,5,F5
creek_temp_1d,5781.778486385795,0.04447547481181516,Fall/Winter,5,F5
creek_do_1d,4419.655388434098,0.03399754459083021,Fall/Winter,5,F5
fp_do,122.76780923479313,9.443731924667575e-4,Fall/Winter,5,F5
fp_depth,34211.68337631503,0.2631683081349314,Fall/Winter,5,F5
fp_depth_1d,13766.387248143168,0.10589589531078945,Fall/Winter,5,F5
fp_sal_1d,8454.705766182768,0.06503657209119845,Fall/Winter,5,F5
fp_do_1d,131.28391740299986,0.00100988209344275,Fall/Winter,5,F5
air_temp,1588.9938827342821,0.012223100136763233,Fall/Winter,5,F5
rain_mm,161.63524820802172,0.0012433552110833464,Fall/Winter,5,F5
par,662.6260530998698,0.005097152788487043,Fall/Winter,5,F5
BP_hPa,3715.721451813599,0.028582637025438944,Fall/Winter,5,F5
air_temp_1d,2651.858988039497,0.02039903256493705,Fall/Winter,5,F5
par_1d,7937.953974310378,0.061061535455412805,Fall/Winter,5,F5
rain_mm_1d,9432.666930486179,0.0725593935262166,Fall/Winter,5,F5
BP_hPa_1d,2429.0932702352925,0.018685440268991084,Fall/Winter,5,F5
