x_norm,y,mean_x,sd_x,pdp_var,season,window,window_c,x
0.8364504373207831,3.2568236623333338,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,129.75889629890662
0.8774438602486179,3.246145624000001,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,132.38430470749748
0.9184372831764529,3.2542117501666676,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,135.00971311608836
0.9577909691871747,3.2839288218333342,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,137.5301051883356
0.992225444446556,3.334932628333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,139.73544825155196
1.0299393935401644,3.3609895113333343,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,142.15082398745557
1.0709328164679996,3.3810462023333345,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,144.77623239604645
1.1070070286444942,3.403415212500001,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,147.08659179560644
1.146360714655216,3.4226766858333346,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,149.60698386785367
1.1840746637488244,3.444411336666668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,152.0223596037573
1.2267078235937727,3.492848068166668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,154.75278434869182
1.2693409834387213,3.515807455500001,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,157.48320909362636
1.3136138802007833,3.551262974833334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,160.31865017490452
1.3644457246312987,3.6215513958333343,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,163.5741566015572
1.4103583583104737,3.6772130873333344,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,166.514614019179
1.4595504658238758,3.7372335770000005,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,169.66510410948806
1.5185809948399587,3.751946981,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,173.44569221785895
1.5792512607731544,3.782227103500001,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,177.33129666257344
1.643201000540577,3.844301380666668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,181.42693377997523
